Page Title,Page Title
Manage content pages of the mobile application. These contents will be displayed under Info section of the mobile app.,Beheer content pagina's van de mobiele applicatie . Deze inhoud zal onder Info deel van de mobiele app worden weergegeven .
Application Settings,applicatie-instellingen
Banners,Banners
Labels and Messages,Labels en Berichten
CMS Contents,CMS Inhoud
Push Notifications,Push-notificaties
Product Slider,Product Slider
Category Icons,Categorie Icons
Select Your Store,Selecteer uw winkel
Configure The Store,Configureren De Store
Push Notification,push Notification
Activate Push Notification,Activeren Push Notification
Sandbox mode,sandbox-modus
GCM API Key,GCM API Key
Google API Project Number,Google API Project Number
Upload IOS PEM file,Upload IOS PEM -bestand
PEM Password,PEM Wachtwoord
Application Information,Application Information
App Name on Google Play Store,App Nome op Google Play Store
App URL on Google Play Store,App URL op Google Play Store
App Name on Apple Store,App Nome op Apple Store
App URL on Apple Store,App URL op Apple Store
Application Description,toepassing Beschrijving
Application Image,Toepassing Afbeelding
Home Page Banner Images,Home pagina Banner Afbeeldingen
Label,label
Message,bericht
Social Media URLs,Social Media URL's
CMS Pages,CMS Pagina's
Link to external page:,Link naar externe pagina :
Push Notifications,push-notificaties
Active:,actief :
Position:,positie:
Manage Category Icons,Beheer Categorie Icons
Apply no icon,Gelden geen pictogram
Apply Magento Category Thumbnail to all categories,Solliciteer Magento Categorie Miniatuur naar alle categorie&euml;n
Company Name,Bedrijfsnaam
Phone Number,Telefoonnummer
Application Store,Application Store
"If you have your social media accounts/pages, than activate respective social media plate form and Supply their URL. Activated plate form icons will be displayed on Info section page.","Hvis du har dine sociale medier konti / sider , end aktivere respektive sociale medier tallerken formular og forsyne deres URL. Aktiverede plade danner ikoner vil blive vist på Info sektion side ."
Create New Mobile App,Neues Mobile-App
App Name:,App Name:
Select the store from thedropdown for which you want to create the mobile app.,"Wählen Sie den Speicher aus thedropdown, für den Sie die mobile App erstellen möchten."
Want multi store mobile app?,Willst Mehr store mobile App erhalten? kontaktieren sie uns
contact us,kontaktieren sie uns
Splash Screen:,Startbild:
"(Height:2048, Width: 1536)",(Höhe: 2048 Breite: 1536)
Don't have splash screen ready? Don't worry you can preview the mobile app with a default mobilecommerce splash screen. At the time of publishing the app for users we will take the splash screen from you and add it into your mobile app.,"Sie haben noch keine Splash-Screen bereit? Keine Sorge, können Sie die mobile App mit einem Standard-Mobile-Commerce-Begrüßungsbildschirm anzeigen. Zum Zeitpunkt der Veröffentlichung der App für die Nutzer werden wir das Startbild von euch nehmen und fügen Sie es in Ihr Mobil-App."
Logo:,Logo:
Don't have logo ready? Don't worry you can preview the mobile app with a default  mobilecommerce logo. At the time of publishing the app for users we will take the logo from you and add it into your mobile app.,"Sie haben noch keine logo bereit? Keine Sorge, können Sie die mobile App mit einem Standard-Mobile-Commerce-Logo anzeigen. Zum Zeitpunkt der Veröffentlichung der App für die Nutzer werden wir das Logo von euch nehmen und fügen Sie es in Ihr Mobil-App."
Icon:,Icon:
"(Height:1024, Width: 1024)",(Höhe: 1024 Breite: 1024)
Don't have an App icon ready? Don't worry you can preview the mobile app with mobilecommerce icon. At the time of publishing the app for users we will take the App icon from you and add it into your mobile app.,"Ich habe keine, ein App-Symbol bereit? Keine Sorge, können Sie die mobile App mit Mobile Commerce-Symbol anzeigen. Zum Zeitpunkt der Veröffentlichung der App für die Nutzer werden wir die App-Symbol von euch nehmen und fügen Sie es in Ihr Mobil-App."
Select Theme:,Thema wählen:
Preview,Vorschau
Email Address:,E-Mail-Addresse:
"Don't worry we do not spam or publish your email address, it will be solely used to create your MobiCommerce support account","Keine Sorge, wir nicht veröffentlicht oder veröffentlichen Sie Ihre E-Mail Adresse, es wird nur verwendet, um Ihre Unterstützung MobiCommerce Konto zu erstellen"
Phone Number:,Telefonnummer:
"Don't worry we do not share your contact number with any third party, it will be solely used to create your MobiCommerce support account","Keine Sorge, wir nicht Ihre Telefonnummer Aktien an Dritte, es wird ausschließlich verwendet, um Ihre Unterstützung MobiCommerce Konto zu erstellen"
UDID of your iOS devices (iPhone and iPad):,UDID Ihres iOS-Geräte (iPhone und iPad):
Don't have UDID handy? You can submit that later on as well.,Sie haben noch keine UDID zur Hand? Das können Sie auch später einzureichen.
"In case of Multiple UDID, enter them with comma (,)separated.","Bei Multiple UDID, geben Sie diese mit Komma (,) getrennt."
"Please do not refresh the page, wait while we create your mobile app it will take just 2-3 minutes","Bitte nicht die Seite zu aktualisieren, warten Sie Ihre mobile Anwendung erstellen, wird es nur 2-3 Minuten dauern"
Live Support,Live Support
Overview,Overzicht
General Settings,Algemene Instellingen
Theme Personalization,thema Personalisatie
Banners,banners
Labels and Messages,Labels en Berichten
CMS Contents,CMS Inhoud
Push Notifications,push-notificaties
Product Sliders,product Sliders
Category Icons,categorie Icons
Mobile Website Settings,Mobiele website Instellingen
