"A fixed amount of Total Order Value","A fixed amount of Total Order Value"
"A percentage of Total Order Value","A percentage of Total Order Value"
"A transaction will be withheld for %s since creation.","A transaction will be withheld for %s since creation."
"A transaction will expire after %s since its creating date..","A transaction will expire after %s since its creating date.."
"Account Dashboard","Account Dashboard"
"Account balance is not enough to cancel.","Account balance is not enough to cancel."
"Account balance is not enough to create this transaction.","Account balance is not enough to create this transaction."
"Account balance of Customer is not enough to take points back.","Account balance of Customer is not enough to take points back."
"Action","Action"
"Action code %s not found on config.","Action code %s not found on config."
"Action model need implements from %s","Action model need implements from %s"
"Add Earning Rate","Add Earning Rate"
"Add Rate","Add Rate"
"Add Spending Rate","Add Spending Rate"
"Add Transaction","Add Transaction"
"Allow Everything","Allow Everything"
"Allow receiving points when invoice is created","Allow receiving points when invoice is created"
"Allow using points for Shipping Fee","Allow using points for Shipping Fee"
"Allow using points for Shipping Tax","Allow using points for Shipping Tax"
"An error occurred while changing the customer","An error occurred while changing the customer"
"Are you sure?","Are you sure?"
"Available Points Balance","Available Points Balance"
"CSV","CSV"
"Cancel","Cancel"
"Canceled","Canceled"
"Cannot create transaction, please recheck form information.","Cannot create transaction, please recheck form information."
"Change Balance","Change Balance"
"Change Title","Change Title"
"Changed by Admin","Changed by Admin"
"Check out now to earn points!","Check out now to earn points!"
"Choose how many points to spend","Choose how many points to spend"
"Choose ways to spend points","Choose ways to spend points"
"Close","Close"
"Complete","Complete"
"Convert Discount Promotion To RewardPoints","Convert Discount Promotion To RewardPoints"
"Convert Rate","Convert Rate"
"Convert Type","Convert Type"
"Created at","Created at"
"Created time","Created time"
"Creating Date","Creating Date"
"Customer","Customer"
"Customer Email","Customer Email"
"Customer Groups","Customer Groups"
"Customer groups","Customer groups"
"Customer must be existed.","Customer must be existed."
"Customer not enough points to spend","Customer not enough points to spend"
"Customer will earn","Customer will earn"
"Customer will spend","Customer will spend"
"Deduct points from Customer's balance when order status is","Deduct points from Customer's balance when order status is"
"Delete","Delete"
"Discount received","Discount received"
"Display Collectible Points","Display Collectible Points"
"Display Configuration","Display Configuration"
"E.g, 10.2 points generated from an order can be rounded up to 11 points or down to 10 points.","E.g, 10.2 points generated from an order can be rounded up to 11 points or down to 10 points."
"E.g. When ","E.g. When "
"Each %s can be redeemed for %s.","Each %s can be redeemed for %s."
"Each %s get %s discount","Each %s get %s discount"
"Each %s spent for your order will earn %s.","Each %s spent for your order will earn %s."
"Each of %s gets %s discount","Each of %s gets %s discount"
"Earn Points","Earn Points"
"Earn points","Earn points"
"Earn points for purchasing order","Earn points for purchasing order"
"Earn points for purchasing order #%s","Earn points for purchasing order #%s"
"Earn points from shipping fee","Earn points from shipping fee"
"Earn points from tax","Earn points from tax"
"Earned Points","Earned Points"
"Earning Configuration","Earning Configuration"
"Earning Rate","Earning Rate"
"Earning Rate Information","Earning Rate Information"
"Earning Rates","Earning Rates"
"Earning rate was successfully deleted","Earning rate was successfully deleted"
"Earning rate was successfully saved","Earning rate was successfully saved"
"Edit","Edit"
"Edit Earning Rate #%s","Edit Earning Rate #%s"
"Edit Spending Rate #%s","Edit Spending Rate #%s"
"Email","Email"
"Email Configuration","Email Configuration"
"Email to a Friend","Email to a Friend"
"Enable Reward Points","Enable Reward Points"
"Enable notification email","Enable notification email"
"Expiration Date","Expiration Date"
"Expire","Expire"
"Expire On","Expire On"
"Expire Transaction Subscription","Expire Transaction Subscription"
"Expired","Expired"
"Expired at","Expired at"
"General Configuration","General Configuration"
"Get discount for spending points","Get discount for spending points"
"Group","Group"
"Higher priority Rate will be applied first","Higher priority Rate will be applied first"
"Hold point transactions for","Hold point transactions for"
"How you can earn points","How you can earn points"
"How you can spend points","How you can spend points"
"ID","ID"
"If empty or zero, there is no limitation.","If empty or zero, there is no limitation."
"If empty, the default label 'Point' will be used.","If empty, the default label 'Point' will be used."
"If empty, the default label 'Points' will be used.","If empty, the default label 'Points' will be used."
"If no, Customers only receive points when the order is complete.","If no, Customers only receive points when the order is complete."
"Import Points Balance from CSV","Import Points Balance from CSV"
"Invalid transaction data to cancel.","Invalid transaction data to cancel."
"Invalid transaction data to complete.","Invalid transaction data to complete."
"Invalid transaction data to expire.","Invalid transaction data to expire."
"Item does not exist","Item does not exist"
"Label for Point","Label for Point"
"Label for Points (plural)","Label for Points (plural)"
"Limit spending points based on","Limit spending points based on"
"Limit value allowed to spend points at","Limit value allowed to spend points at"
"Loading payment method...","Loading payment method..."
"Loading total","Loading total"
"Magestore Extension","Magestore Extension"
"Max point balance allowed","Max point balance allowed"
"Max spending points per order","Max spending points per order"
"Maximize discount with points","Maximize discount with points"
"Maximize my discount with points","Maximize my discount with points"
"Maximum %s are allowed to spend for an order.","Maximum %s are allowed to spend for an order."
"Maximum of your balance","Maximum of your balance"
"Maximum points allowed in account balance is %s.","Maximum points allowed in account balance is %s."
