"-- Please Select --","-- Please Select --"
"Action","Action"
"Add Holiday","Add Holiday"
"Add Image","Add Image"
"Add Special Day","Add Special Day"
"Add Store","Add Store"
"Add domain","Add domain"
"Address","Address"
"Address:","Address:"
"Afrikaans","Afrikaans"
"Albanian","Albanian"
"Allow Everything","Allow Everything"
"Allow Facebook comment","Allow Facebook comment"
"Alphabetical order","Alphabetical order"
"Apply to other days","Apply to other days"
"Arabic","Arabic"
"Are you sure?","Are you sure?"
"Armenian","Armenian"
"Aymara","Aymara"
"Azeri","Azeri"
"Base Image","Base Image"
"Basque","Basque"
"Belarusian","Belarusian"
"Bengali","Bengali"
"Bosnian","Bosnian"
"Bulgarian","Bulgarian"
"CSV","CSV"
"Catalan","Catalan"
"Change status","Change status"
"Cherokee","Cherokee"
"City","City"
"Click here to show map","Click here to show map"
"Close Time","Close Time"
"Closed","Closed"
"Comment","Comment"
"Comments","Comments"
"Could not find a route between A and B.","Could not find a route between A and B."
"Country","Country"
"Create Facebook app","Create Facebook app"
"Croatian","Croatian"
"Czech","Czech"
"Danish","Danish"
"Default Country","Default Country"
"Default Radius for search","Default Radius for search"
"Delete","Delete"
"Delete Item","Delete Item"
"Delete Store","Delete Store"
"Description","Description"
"Description:","Description:"
"Directions","Directions"
"Disabled","Disabled"
"Display holidays & special days in the next","Display holidays & special days in the next"
"Distance","Distance"
"Distance Unit","Distance Unit"
"Driving","Driving"
"Dutch","Dutch"
"Edit","Edit"
"Edit Holiday ","Edit Holiday "
"Edit Special Day ","Edit Special Day "
"Edit store ","Edit store "
"Email Address","Email Address"
"Email:","Email:"
"Enable","Enable"
"Enabled","Enabled"
"Enter a location","Enter a location"
"Esperanto","Esperanto"
"Estonian","Estonian"
"Facebook","Facebook"
"Facebook API key","Facebook API key"
"Faroese","Faroese"
"Fax Number","Fax Number"
"Filipino","Filipino"
"Filter by Tags","Filter by Tags"
"Finnish","Finnish"
"Friday","Friday"
"From Date","From Date"
"Galician","Galician"
"General","General"
"General Configuration","General Configuration"
"General Information","General Information"
"General Instructions","General Instructions"
"Georgian","Georgian"
"German","German"
"Get Directions","Get Directions"
"Google","Google"
"Google API Active","Google API Active"
"Google Map","Google Map"
"Google Map API key","Google Map API key"
"Greek","Greek"
"Guarani","Guarani"
"Guide","Guide"
"Gujarati","Gujarati"
"Hebrew","Hebrew"
"Hindi","Hindi"
"Holiday Information","Holiday Information"
"Holiday Manager","Holiday Manager"
"Holiday News","Holiday News"
"Holiday exists","Holiday exists"
"Holidays","Holidays"
"Hungarian","Hungarian"
"ID","ID"
"Icelandic","Icelandic"
"Image","Image"
"Images of ","Images of "
"Import","Import"
"Import Settings","Import Settings"
"Import Store","Import Store"
"Import Stores","Import Stores"
"Indonesian","Indonesian"
