Page Title,Page Title
Manage content pages of the mobile application. These contents will be displayed under Info section of the mobile app.,Beheer content pagina's van de mobiele applicatie. Deze inhoud zal onder Info deel van de mobiele app worden weergegeven.
Application Settings,applicatie-instellingen
Banners,Banners
Labels and Messages,Labels en Berichten
CMS Contents,CMS Inhoud
Push Notifications,push-notificaties
Product Slider,Product Slider
Category Icons,categorie Icons
Select Your Store,Selecteer uw winkel
Configure The Store,Configureren De Store
Push Notification,Push Notification
Activate Push Notification,Activeren Push Notification
Sandbox mode,sandbox-modus
GCM API Key,GCM API Key
Google API Project Number,Google API Project Number
Upload IOS PEM file,Upload IOS PEM-bestand
PEM Password,PEM Wachtwoord
Application Information,Application Information
App Name on Google Play Store,Naam app op Google Play Store
App URL on Google Play Store,App URL op Google Play Store
App Name on Apple Store,App Naam op Apple Store
App URL on Apple Store,App URL op Apple Store
Application Description,toepassing Beschrijving
Application Image,toepassing Afbeelding
Home Page Banner Images,Home pagina Banner Afbeeldingen
Label,label
Message,bericht
Social Media URLs,Social Media URL's
CMS Pages,CMS Pagina's
Link to external page:Link naar externe pagina: ,
Push Notifications,push-notificaties
Active: ,actief: 
Position: ,positie:
Manage Category Icons,Beheer Categorie Icons
Apply no icon,Gelden geen pictogram
Apply Magento Category Thumbnail to all categories,Solliciteer Magento Categorie Miniatuur naar alle categorie&#235;n
Company Name,Bedrijfsnaam
Phone Number,Telefoonnummer
Application Store,Application Store
"If you have your social media accounts/pages, than activate respective social media plate form and Supply their URL. Activated plate form icons will be displayed on Info section page.","Als je je social media accounts / pagina's, dan activeert respectieve sociale media plaat vorm en leveren hun URL. Geactiveerd plaat vorm pictogrammen op Info sectie pagina weergegeven."
Personalization,personalisatie
Pop Up Setting,Pop Up instellen
Enable Pop Up,Inschakelen Pop Up
Upload Pop Up Image,Upload Pop Up Image
Set Pop Up Cookie Time,Set Pop Up Cookie Time
Cookies Lifetime in Seconds.,Cookies Lifetime in enkele seconden.
Create New Mobile App,Maak nieuwe Mobile App
App Name:,App Naam:
Select the store from thedropdown for which you want to create the mobile app.,Selecteer de winkel van thedropdown waarvoor u naar de mobiele app te maken.
Want multi store mobile app?,Willen meerdere store mobiele app?
contact us,contact met ons op
Splash Screen:,Splash Screen:
"(Height:2048, Width: 1536)",(Lengte: 2048 Breedte: 1536)
Don't have splash screen ready? Don't worry you can preview the mobile app with a default mobilecommerce splash screen. At the time of publishing the app for users we will take the splash screen from you and add it into your mobile app.,Heb je geen splash screen er klaar voor? Maak je geen zorgen kunt u de mobiele app met een standaard splash screen mobiele handel een voorbeeld. Op het moment van de publicatie van de app voor gebruikers zullen we het splash screen van u en voeg deze in uw mobiele app.
Logo:,Logo:
Don't have logo ready? Don't worry you can preview the mobile app with a default  mobilecommerce logo. At the time of publishing the app for users we will take the logo from you and add it into your mobile app.,Heb je geen logo klaar? Maak je geen zorgen kunt u de mobiele app met een standaard mobiele handel logo voorbeeld. Op het moment van de publicatie van de app voor gebruikers zullen we het logo van u en voeg deze in uw mobiele app.
Icon:,pictogram:
"(Height:1024, Width: 1024)",(Lengte: 1024 Breedte: 1024)
Don't have an App icon ready? Don't worry you can preview the mobile app with mobilecommerce icon. At the time of publishing the app for users we will take the App icon from you and add it into your mobile app.,Hoeft niet een App icoon klaar? Maak je geen zorgen kunt u de mobiele app met mobile commerce icoon voorbeeld. Op het moment van de publicatie van de app voor gebruikers zullen we het pictogram App van u en voeg deze in uw mobiele app.
Select Theme:,Kies een thema:
Preview,Voorbeeld
Email Address:,e-Mailadres
"Don't worry we do not spam or publish your email address, it will be solely used to create your MobiCommerce support account","Maak je geen zorgen we niet spammen of het publiceren van uw e-mailadres, het zal alleen worden gebruikt om uw MobiCommerce support account aan te maken"
Phone Number:,Telefoonnummer:
"Don't worry we do not share your contact number with any third party, it will be solely used to create your MobiCommerce support account","Maak je geen zorgen we geen deel uw telefoonnummer met een derde partij, zal het alleen worden gebruikt om uw MobiCommerce support account aan te maken"
UDID of your iOS devices (iPhone and iPad):,UDID van je iOS-apparaten (iPhone en iPad):
